,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,Unit (all except Population)
0,Asia,Afghanistan,162926,4063.047,7414,5125146,9.71,40099462,54.422,18.6,2.581,1803.987,,597.029,9.59,,,0.5,64.83,0.511,5.5,0.0014,0.1973,9.4341,0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0,0.077,0.5345,6.7642,40.5645,%
1,Europe,Albania,258543,90567.168,3346,,,2854710,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.795,21.7,1.6719,0.1357,18.7684,0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,0.0008,1.8096,0.1055,1.5367,0,0.1515,0.3261,11.7753,31.2304,%
2,Africa,Algeria,252117,5706.849,6579,,,44177969,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,76.88,0.748,27.4,0.2711,0.0282,9.6334,0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0,0.1152,1.031,11.6484,40.3651,%
3,Africa,Angola,98116,2843.631,1895,,,34503774,23.89,16.8,2.405,5819.495,,276.045,3.94,,,,61.15,0.581,8.2,5.8087,0.056,4.9278,0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,0.0009,18.1102,0.0508,1.8495,0,0.0061,0.6463,2.3041,45.0722,%
4,North America,Antigua and Barbuda,6627,71089.895,127,,,93220,231.845,32.1,6.933,21490.943,,191.511,13.17,,,3.8,77.02,0.778,18.9,3.5764,0.0087,16.6613,0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0,0.0253,0.8102,5.4495,33.3233,%
5,South America,Argentina,8378656,185054.149,121273,88886968,78.29,45276780,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5,76.67,0.845,28.3,4.2672,0.2234,19.3454,0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0,0.02,0.9541,4.3503,30.6559,%
6,Asia,Armenia,367795,131780.16,8053,,,2790974,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09,0.776,20.2,0.4014,0.1833,13.564,0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0,0.1108,0.4705,16.7019,36.4358,%
7,Oceania,Australia,2580386,99547.747,3835,49866290,77.97,25921089,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13,16.5,3.84,83.44,0.944,29,5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0,0.3176,1.2798,5.1406,28.5806,%
8,Europe,Austria,1835602,205736.957,17207,17776006,76.45,8922082,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.922,20.1,7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,0.0005,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0,0.2367,0.8109,5.1098,30.4338,%
9,Asia,Azerbaijan,658470,63848.59,8734,12000767,45.98,10312992,119.309,32.4,6.018,15847.419,,559.812,7.11,0.3,42.5,4.7,73,0.756,19.9,3.5969,0.2544,11.6416,0,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0,0.1906,0.2235,10.0755,38.3584,%
10,North America,Bahamas,32562,79827.215,746,,,407906,39.497,34.3,8.996,27717.847,,235.954,13.17,3.1,20.4,2.9,73.92,0.814,31.6,2.0175,0.0062,11.4718,0.0009,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,%
11,Asia,Bangladesh,1798833,10621.592,28394,,,169356251,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1,44.7,0.8,72.59,0.632,3.6,0.0031,0.0156,5.1926,0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,%
12,North America,Barbados,44430,158001.422,280,,,281200,664.463,39.8,14.952,16978.068,,170.05,13.57,1.9,14.5,5.8,79.19,0.814,23.1,3.565,0.2212,12.4976,0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0,0.0852,0.8677,5.4725,37.5167,%
13,Europe,Belarus,742953,77567.339,6052,,,9578168,46.858,40.3,14.799,17167.967,,443.129,5.18,10.5,46.1,11,74.79,0.823,24.5,3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,%
14,Europe,Belgium,3155239,271735.843,29052,24212562,76.56,11611420,375.564,41.8,18.571,42658.576,0.2,114.898,4.29,25.1,31.4,5.64,81.63,0.931,22.1,5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,%
15,North America,Belize,50487,126207.719,625,,,400031,16.426,25,3.853,7824.362,,176.957,17.11,,,1.3,74.62,0.716,24.1,3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,%
16,Africa,Benin,26450,2035.101,163,,,12996895,99.11,18.8,3.244,2064.236,49.6,235.848,0.99,0.6,12.3,0.5,61.77,0.545,9.6,5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,%
17,Europe,Bosnia and Herzegovina,347467,106228.387,14447,,,3270943,68.496,42.5,16.569,11713.895,0.2,329.635,10.08,30.2,47.7,3.5,77.4,0.78,17.9,4.7876,0.0585,12.4319,0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0,0.0822,0.4205,11.6394,37.5645,%
18,Africa,Botswana,253036,97756.819,2581,,,2588423,4.044,25.8,3.941,15807.374,,237.372,4.81,5.7,34.4,1.8,69.59,0.735,18.9,4.2717,0.3402,14.4486,0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,0.0009,0.015,1.0065,4.0558,35.5491,%
19,South America,Brazil,25463530,118807.347,627589,362503209,69.95,214326223,25.04,33.5,8.552,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,22.1,4.3629,0.2803,17.347,0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,0.0006,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,%
20,Europe,Bulgaria,951965,138249.092,33318,4165478,28.99,6885868,65.18,44.7,20.801,18563.307,1.5,424.688,5.81,30.1,44.4,7.454,75.05,0.816,25,7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0,0.0797,0.7085,6.2037,32.7435,%
21,Africa,Burkina Faso,20624,933.184,366,,,22100683,70.151,17.6,2.409,1703.102,43.7,269.048,2.42,1.6,23.9,0.4,61.58,0.452,5.6,15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,%
22,Asia,Cambodia,121355,7315.38,3015,33144777,82.95,16589023,90.672,25.6,4.412,3645.07,,270.892,4,2,33.7,0.8,69.82,0.594,3.9,4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,%
23,Africa,Cameroon,116718,4291.319,1880,,,27198628,50.885,18.8,3.165,3364.926,23.8,244.661,7.2,,,1.3,59.29,0.563,11.4,5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,%
24,North America,Canada,3073654,80557.018,33870,78058871,79.06,38155012,4.037,41.4,16.984,44017.591,0.5,105.599,7.37,12,16.6,2.5,82.43,0.929,29.4,4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,%
25,Africa,Central African Republic,13919,2550.597,110,652134,10.07,5457154,7.479,18.3,3.655,661.24,,435.727,6.1,,,1,53.28,0.397,7.5,1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,%
26,Africa,Chad,7155,416.479,190,,,17179740,11.833,16.7,2.486,1768.153,38.4,280.995,6.1,,,,54.24,0.398,6.1,0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,%
27,South America,Chile,2165984,111114.942,39721,46710665,87,19493184,24.282,35.4,11.087,22767.037,1.3,127.993,8.46,34.2,41.5,2.11,80.18,0.851,28,4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,%
28,Asia,China,120069,84.206,4636,3000532000,,1425893464,147.674,38.7,10.641,15308.712,0.7,261.899,9.74,1.9,48.4,4.34,76.91,0.761,6.2,2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,%
29,South America,Colombia,5887261,114278.996,134300,71927908,61.47,51516562,44.223,32.2,7.646,13254.949,4.5,124.24,7.44,4.7,13.5,1.71,77.29,0.767,22.3,3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,%
30,Africa,Congo,23705,4061.992,371,,,5835806,15.405,19,3.402,4881.406,37,344.094,7.2,1.7,52.3,,64.57,0.574,9.6,4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,%
31,North America,Costa Rica,694865,134821.653,7575,8315360,71.34,5153957,96.079,33.6,9.468,15524.995,1.3,137.973,8.78,6.4,17.4,1.13,80.28,0.81,25.7,1.6982,0.1529,18.677,0.0007,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,%
32,Europe,Croatia,937167,230821.635,13827,5100960,54.34,4060135,73.726,44,19.724,22669.797,0.7,253.782,5.59,34.3,39.9,5.54,78.49,0.851,24.4,4.9846,0.2296,17.311,0.0005,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,%
33,North America,Cuba,1044790,92817.65,8399,34298831,87.34,11256372,110.408,43.1,14.738,,,190.968,8.27,17.1,53.3,5.2,78.8,0.783,24.6,2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,0.0006,0.4535,8.374,39.9895,%
34,Europe,Cyprus,256746,286544.636,733,1693504,70.23,896007,127.657,37.3,13.416,32415.132,,141.171,9.24,19.6,52.7,3.4,80.98,0.887,21.8,3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,%
35,Europe,Czechia,3013454,286702.091,37209,17065912,64.59,10510750,137.176,43.3,19.027,32605.906,,227.485,6.82,30.5,38.3,6.63,79.38,0.9,26,9.8498,0.8945,17.8065,0.0006,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,%
36,Europe,Denmark,1742569,297659.303,3755,12991747,81.04,5854240,136.52,42.3,19.677,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,19.7,4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,%
37,Africa,Djibouti,15464,13987.519,189,,,1105557,41.285,25.4,4.213,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,13.5,0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,%
38,North America,Dominica,9032,124730.708,51,,,72412,98.567,,,9673.367,,227.376,11.62,,,3.8,75,0.742,27.9,0.941,0.0319,8.9011,0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0,0.0035,0.3797,4.6371,41.0989,%
39,North America,Dominican Republic,555245,49941.653,4307,14773753,52.12,11117874,222.873,27.6,6.981,14600.861,1.6,266.653,8.2,8.5,19.1,1.6,74.08,0.756,27.6,3.21,0.1122,11.2417,0.0006,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,%
40,South America,Ecuador,732038,41130.96,34533,30028057,74.76,17797737,66.939,28.1,7.104,10581.936,3.6,140.448,5.55,2,12.3,1.5,77.01,0.759,19.9,3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,%
41,Africa,Egypt,425911,3898.064,22635,,,109262178,97.999,25.3,5.159,10550.206,1.3,525.432,17.31,0.2,50.1,1.6,71.99,0.707,32,0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,%
42,North America,El Salvador,135109,21397.755,3899,,,6314167,307.811,27.6,8.273,7292.458,2.2,167.295,8.87,2.5,18.8,1.3,73.32,0.673,24.6,2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,%
43,Europe,Estonia,337543,254039.848,2033,1920163,62.35,1328701,31.033,42.7,19.452,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,21.2,6.1949,0.4556,22.3154,0.0005,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,%
44,Africa,Eswatini,68367,57341.829,1375,,,1192271,79.492,21.5,3.163,7738.975,,333.436,3.94,1.7,16.5,2.1,60.19,0.611,16.5,6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,%
45,Africa,Ethiopia,465158,3867.196,7337,10975026,,120283026,104.957,19.8,3.526,1729.927,26.7,182.634,7.47,0.4,8.5,0.3,66.6,0.485,4.5,2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,%
46,Oceania,Fiji,62855,67980.013,801,1279166,66.43,924610,49.562,28.6,6.224,8702.975,1.4,412.82,14.49,10.2,34.8,2.3,67.44,0.743,30.2,1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,%
47,Europe,Finland,489870,88488.206,1990,11008185,74.68,5535992,18.136,42.8,21.228,40585.721,,153.507,5.76,18.3,22.6,3.28,81.91,0.938,22.2,4.5004,0.519,26.8865,0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0,0.046,0.2468,3.8325,23.1132,%
48,Europe,France,19196399,284720.106,131011,137224177,76.6,67422000,122.578,42,19.718,38605.671,,86.06,4.77,30.1,35.6,5.98,82.66,0.901,21.6,4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0,0.2093,0.8675,5.1223,28.2903,%
49,Africa,Gabon,46925,20043.32,301,,,2341179,7.859,23.1,4.45,16562.413,3.4,259.967,7.2,,,6.3,66.47,0.703,15,6.1881,0.0109,8.1825,0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,%
50,Africa,Gambia,11842,4485.749,362,,,2639916,207.566,17.5,2.339,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,10.3,2.8419,0.0114,10.1417,0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0,0.0897,2.2026,2.4575,39.8291,%
51,Asia,Georgia,1175923,312913.587,14980,2722187,32.5,3757980,65.032,38.7,14.864,9745.079,4.2,496.218,7.11,5.3,55.5,2.6,73.77,0.812,21.7,2.5343,0.2356,15.5347,0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0,0.1631,0.668,4.0993,34.4636,%
52,Europe,Germany,9815533,117680.172,117786,169067626,73.77,83408554,237.016,46.6,21.453,45229.245,,156.139,8.31,28.2,33.1,8,81.33,0.947,22.3,6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0,0.1903,0.8104,5.0542,29.1443,%
53,Africa,Ghana,156920,4779.333,1395,,,32833031,126.719,21.1,3.385,4227.63,12,298.245,4.97,0.3,7.7,0.9,64.07,0.611,10.9,0.9444,0.0088,2.8956,0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,%
54,Europe,Greece,1940723,185797.528,23500,19361091,70.23,10445365,83.479,45.3,20.396,24574.382,1.5,175.695,4.55,35.3,52,4.21,82.24,0.888,24.9,2.2879,0.2116,17.6914,0.0005,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0,0.6676,1.5237,7.9134,32.3038,%
55,North America,Grenada,12336,98996.87,210,,,124610,317.132,29.4,7.304,13593.877,,243.964,10.71,,,3.7,72.4,0.779,21.3,3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0,0.0143,0.9959,3.6085,37.8648,%
56,North America,Guatemala,690290,39202.128,16385,13451175,30.03,17608483,157.834,22.9,4.694,7423.808,8.7,155.898,10.18,,,0.6,74.3,0.663,21.2,1.7037,0.0957,10.3765,0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0,0.198,0.8747,5.7997,39.624,%
57,Africa,Guinea,36166,2672.646,419,4749322,13.85,13531906,51.755,19,3.135,1998.926,35.3,336.717,2.42,,,0.3,61.6,0.477,7.7,0.311,0.0213,3.8776,0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0,11.7958,0.1196,1.3368,0,0.0009,1.3271,4.4286,46.1202,%
58,Africa,Guinea-Bissau,7586,3681.236,156,,,2060721,66.191,19.4,3.002,1548.675,67.1,382.474,2.42,,,,58.32,0.48,9.5,2.4603,0.0423,4.9295,0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0,0.4485,1.8016,2.3642,45.0666,%
59,South America,Guyana,59889,74436.312,1168,775229,38.89,804567,3.952,26.3,5.305,7435.047,,373.159,11.62,,,1.6,69.91,0.682,20.2,1.8708,0.0206,9.1155,0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0,0.0435,0.2779,15.2061,40.8722,%
60,North America,Haiti,29477,2574.957,804,,,11447569,398.448,24.3,4.8,1653.173,23.5,430.548,6.65,2.9,23.1,0.7,64,0.51,22.7,1.2733,0.0402,3.5986,0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0,0,0.8742,2.0302,46.3997,%
